x1,y1,x2,y2,c_p,c_r
0.0,0.027314904700000003,0.0,1.0,0.27,0.0
0.010000000000000009,0.0028466929,0.010000000000000009,1.0,0.27,0.0
0.020000000000000018,0.047739812400000005,0.020000000000000018,0.9999999920999999,0.27,0.0
0.030000000000000027,0.0328811189,0.030000000000000027,0.9957044372,0.27,0.0
0.040000000000000036,0.014843345400000001,0.040000000000000036,0.9999999999,0.27,0.0
0.050000000000000044,0.027771238599999998,0.050000000000000044,1.0,0.27,0.0
0.06999999999999995,0.0263234828,0.06000000000000005,0.9995620733,0.27,0.0
0.07999999999999996,0.0344879002,0.06999999999999995,0.9999999954000001,0.27,0.0
0.08999999999999997,0.0945553471,0.07999999999999996,0.9984953675,0.27,0.0
0.10999999999999999,0.0303084504,0.08999999999999997,0.9999999636,0.27,0.0
0.12,0.049175415599999994,0.09999999999999998,0.999899491,0.27,0.0
0.13,0.0543759637,0.10999999999999999,0.9999999875,0.27,0.0
0.14,0.0698174262,0.12,0.9999999985,0.27,0.0
0.15000000000000002,0.07997733259999999,0.14,0.9998173439,0.27,0.0
0.16000000000000003,0.09234458050000001,0.15000000000000002,1.0,0.27,0.0
0.18000000000000005,0.07245431179999999,0.16000000000000003,0.9999999992,0.27,0.0
0.18999999999999995,0.1188494195,0.17000000000000004,0.9999999995000001,0.27,0.0
0.19999999999999996,0.0729942758,0.18000000000000005,1.0,0.27,0.0
0.20999999999999996,0.0828705176,0.18999999999999995,0.9999998275,0.27,0.0
0.21999999999999997,0.10873991570000001,0.19999999999999996,0.999852117,0.27,0.0
0.22999999999999998,0.1284628957,0.20999999999999996,0.9999999979,0.27,0.0
0.24,0.1363987269,0.21999999999999997,0.9995515483,0.27,0.0
0.25,0.1450046029,0.22999999999999998,0.9999999719,0.27,0.0
0.26,0.1649806985,0.24,1.0,0.27,0.0
0.27,0.17389763870000002,0.25,1.0,0.27,0.0
0.28,0.9999999462000001,0.26,1.0,0.27,0.0
0.29000000000000004,0.9999999718000001,0.27,0.9999997582,0.27,0.0
0.30000000000000004,0.9999996831999999,0.28,0.9999995611,0.27,0.0
0.31000000000000005,0.9999999945,0.29000000000000004,1.0,0.27,0.0
0.31999999999999995,0.9999997629999999,0.30000000000000004,1.0,0.27,0.0
0.32999999999999996,0.9999999719,0.31000000000000005,0.9999934498,0.27,0.0
0.33999999999999997,1.0,0.31999999999999995,0.9999999761,0.27,0.0
0.35,1.0,0.32999999999999996,0.9999999979,0.27,0.0
0.36,1.0,0.33999999999999997,1.0,0.27,0.0
0.38,1.0,0.35,1.0,0.27,0.0
0.39,1.0,0.36,1.0,0.27,0.0
0.4,0.9999997698,0.37,0.9998926944,0.27,0.0
0.41000000000000003,0.9989821876,0.38,0.9999999957,0.27,0.0
0.42000000000000004,0.9999999955,0.39,0.9999998227,0.27,0.0
0.43000000000000005,0.9996547634,0.4,0.9999998428,0.27,0.0
0.43999999999999995,0.9999995665000001,0.41000000000000003,1.0,0.27,0.0
0.44999999999999996,0.9999999755,0.42000000000000004,0.9976521624,0.27,0.0
0.45999999999999996,1.0,0.43000000000000005,0.9999999976999999,0.27,0.0
0.47,0.999950529,0.43999999999999995,0.9993642271,0.27,0.0
0.49,0.9999581133,0.44999999999999996,0.9999984226,0.27,0.0
0.5,0.9999999958,0.45999999999999996,0.9999841515000001,0.27,0.0
0.51,1.0,0.47,0.9999999972,0.27,0.0
0.52,0.9999999999,0.48,0.9999999839,0.27,0.0
0.53,0.9999999789,0.49,0.9994798375,0.27,0.0
0.54,0.9999992325,0.5,1.0,0.27,0.0
0.55,0.9974560120999999,0.51,1.0,0.27,0.0
0.56,0.9999999944,0.52,0.9999999999,0.27,0.0
0.5700000000000001,0.9999996616,0.53,0.9985435595000001,0.27,0.0
0.5800000000000001,0.9999933056,0.54,0.9999999247,0.27,0.0
0.5900000000000001,0.9999996335,0.55,0.9999978124,0.27,0.0
0.6,0.9998162107999999,0.56,0.9999982258,0.27,0.0
0.61,0.999992732,0.5700000000000001,1.0,0.27,0.0
0.62,0.9999999474,0.5800000000000001,0.9999663892,0.27,0.0
0.63,0.9999902408,0.5900000000000001,0.9996649939,0.27,0.0
0.64,0.9999999925,0.6,0.9999810794,0.27,0.0
0.65,0.9980505675,0.61,0.9999834117,0.27,0.0
0.6599999999999999,0.9998511343,0.62,0.9994212237000001,0.27,0.0
0.6699999999999999,0.9999781627,0.63,0.9999999999,0.27,0.0
0.6799999999999999,0.9999999195999999,0.64,0.9997626734,0.27,0.0
0.69,0.9992826746,0.65,0.9982722421,0.27,0.0
0.7,0.9948444625,0.6599999999999999,0.9995532068,0.27,0.0
0.71,0.9953600525,0.6699999999999999,0.9999150869,0.27,0.0
0.72,0.9999998458,0.6799999999999999,0.9999792989,0.27,0.0
0.73,0.9978447906,0.69,0.9981805019,0.27,0.0
0.74,0.9974646093,0.7,0.9999998995,0.27,0.0
0.75,0.9966021175,0.71,0.99998065,0.27,0.0
0.76,0.9997496542000001,0.72,0.9991266746999999,0.27,0.0
0.77,0.9998100648,0.73,0.9999830792000001,0.27,0.0
0.78,0.9973067968000001,0.74,0.9999999863,0.27,0.0
0.79,0.9945167127,0.75,0.9998917273000001,0.27,0.0
0.8,0.9994405056,0.76,0.9928298154,0.27,0.0
0.81,0.9999981379,0.77,0.9950640236,0.27,0.0
0.8200000000000001,0.9989996574,0.78,0.9955779687999999,0.27,0.0
0.83,0.9996639451,0.79,0.9996641433,0.27,0.0
0.84,0.9952816346,0.8,0.9978309868999999,0.27,0.0
0.85,0.9973843609,0.81,0.9997467329,0.27,0.0
0.86,0.9943690651,0.8200000000000001,0.9998147226,0.27,0.0
0.87,0.9977956368,0.84,0.9950162166,0.27,0.0
0.88,0.9953156045,0.85,0.984173205,0.27,0.0
0.89,0.9874275953,0.86,0.9959460364,0.27,0.0
0.9,0.9987684577,0.87,0.9997168353,0.27,0.0
0.91,0.9919998622,0.88,0.9982557887000001,0.27,0.0
0.92,0.9974149579000001,0.89,0.9934252183,0.27,0.0
0.9299999999999999,0.9900332073,0.9,0.9966436919,0.27,0.0
0.94,0.9930508614,0.91,0.9904026828,0.27,0.0
0.96,0.9943847889,0.92,0.9970799072,0.27,0.0
0.97,0.994111486,0.9299999999999999,0.9936218445999999,0.27,0.0
0.98,0.9980684275,0.94,0.9979370281000001,0.27,0.0
0.99,0.9962213601000001,0.95,0.990783292,0.27,0.0
1.0,0.9920152419,0.96,0.9987659653000001,0.27,0.0
